Port Logger Log: Unix time: 1305562198.6
Ports in use: /dev/ttyUSB0 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 
Comments: Modbus RTU trace of the pipeline lab in 'Off' mode taken using a tap cable, so the timestamps should be highly reliable. USB0 is the master unit, USB2 is the slave. They were connected at 9600 Baud 8n1. This trace was taken directly and is not a translation from ModbusASCII.
1305562198.899566 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305562198.926781 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562199.119569 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562199.160464 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.45.00.00.00.00.00.00.00.00.3d.eb.66.fd.4e.06
1305562199.433555 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562199.462789 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562199.715561 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562199.756388 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0c.44.00.00.00.00.00.00.00.00.3d.d3.dc.b0.63.d6
1305562199.987565 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562200.034771 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562200.223568 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562200.266740 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0c.7f.00.00.00.00.00.00.00.00.3f.27.b9.61.93.eb
1305562200.499378 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562200.538755 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562200.887225 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562200.922769 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0c.d5.00.00.00.00.00.00.00.00.3f.d5.55.56.a7.a5
1305562201.163413 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562201.190774 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562201.383119 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562201.418759 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0d.16.00.00.00.00.00.00.00.00.40.1a.7b.96.97.bd
1305562201.662709 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562201.698775 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562201.943099 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562201.998770 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0d.59.00.00.00.00.00.00.00.00.40.4b.c5.26.5c.b7
1305562202.239563 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562202.274769 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562202.455318 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562202.506245 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0d.90.00.00.00.00.00.00.00.00.40.74.3a.da.31.c2
1305562202.802517 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562202.853595 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562203.071600 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562203.151314 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0d.d4.00.00.00.00.00.00.00.00.40.93.7e.88.c3.4c
1305562203.346805 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562203.370760 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562203.563547 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562203.602772 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0e.03.00.00.00.00.00.00.00.00.40.a4.c8.17.73.5f
1305562203.958333 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562204.009363 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562204.195573 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562204.238757 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0e.40.00.00.00.00.00.00.00.00.40.bb.f4.3b.a9.47
1305562204.471425 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562204.518788 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562204.759437 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562204.818781 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0e.74.00.00.00.00.00.00.00.00.40.ce.b6.70.87.7e
1305562205.031423 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562205.094748 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562205.303411 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562205.394891 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0e.ab.00.00.00.00.00.00.00.00.40.e2.34.f7.4d.eb
1305562205.635563 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562205.674780 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562205.970791 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562206.041925 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0e.e6.00.00.00.00.00.00.00.00.40.f9.61.1a.2f.7c
1305562206.263066 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562206.318775 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562206.535353 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562206.622810 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.16.00.00.00.00.00.00.00.00.41.05.26.40.1d.4b
1305562206.979574 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562207.038789 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562207.250872 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562207.339289 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.55.00.00.00.00.00.00.00.00.41.11.1a.7b.f6.9f
1305562207.583567 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562207.614748 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562207.919568 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562207.986783 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.8d.00.00.00.00.00.00.00.00.41.1b.96.12.52.aa
1305562208.207565 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562208.262768 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562208.431383 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562208.470776 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.b4.00.00.00.00.00.00.00.00.41.22.f1.4a.f5.54
1305562208.707413 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562208.743130 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562208.991425 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562209.034757 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.e2.00.00.00.00.00.00.00.00.41.2b.37.e9.c6.cb
1305562209.266792 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562209.310754 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562209.487386 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562209.526753 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.a3.00.00.00.00.00.00.00.00.41.1f.a1.d7.ac.e6
1305562209.835428 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562209.886455 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562210.047374 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562210.108555 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.db.00.00.00.00.00.00.00.00.41.29.61.1a.7d.05
1305562210.342008 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562210.378779 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562210.558807 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562210.619736 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.7d.00.00.00.00.00.00.00.00.41.1b.96.12.2b.89
1305562210.955313 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562210.978759 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562211.171450 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562211.206760 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.60.00.00.00.00.00.00.00.00.41.12.64.0c.2a.ec
1305562211.448969 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562211.474748 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562211.670739 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562211.726746 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.99.00.00.00.00.00.00.00.00.41.1d.fa.1d.ef.bb
1305562212.009384 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562212.049921 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562212.242729 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562212.278754 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.cd.00.00.00.00.00.00.00.00.41.26.fd.0f.d2.9f
1305562212.526746 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562212.546858 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562212.811122 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562212.882294 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.8b.00.00.00.00.00.00.00.00.41.1d.fa.1d.ef.bb
1305562213.083406 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562213.106798 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562213.303346 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562213.338770 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.42.00.00.00.00.00.00.00.00.41.0e.b6.70.ce.49
1305562213.579346 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562213.614775 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562213.915567 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562213.958735 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.88.00.00.00.00.00.00.00.00.41.1a.7b.96.42.5c
1305562214.191416 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562214.234771 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562214.427389 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562214.490764 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.bd.00.01.00.00.00.00.00.00.41.24.69.ef.a7.db
1305562214.703560 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562214.762757 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562215.039541 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562215.100563 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.c1.00.00.00.00.00.00.00.00.41.29.02.f2.4a.f3
1305562215.314051 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562215.366764 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562215.535562 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562215.570782 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.62.00.00.00.00.00.00.00.00.41.16.cd.fa.ab.ab
1305562215.883585 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562215.918769 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562216.099564 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562216.146782 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.70.00.00.00.00.00.00.00.00.41.15.e2.93.87.b5
1305562216.390396 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562216.422763 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562216.611364 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562216.678769 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.a8.00.00.00.00.00.00.00.00.41.20.5e.29.46.11
1305562217.003567 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562217.042772 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562217.275565 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562217.336640 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.e7.00.00.00.00.00.00.00.00.41.2b.96.11.b2.dc
1305562217.550066 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562217.606772 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562217.775563 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562217.814783 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.81.00.00.00.00.00.00.00.00.41.1b.c5.26.47.93
1305562218.110903 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562218.134802 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562218.347354 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562218.426787 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.60.00.00.00.00.00.00.00.00.41.12.93.20.6d.01
1305562218.626798 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562218.658737 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562218.958819 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562219.002771 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.9d.00.00.00.00.00.00.00.00.41.1e.87.5b.b1.9d
1305562219.236857 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562219.278910 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562219.455559 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562219.506503 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.cf.00.00.00.00.00.00.00.00.41.27.b9.61.36.f1
1305562219.735232 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562219.776193 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562220.071557 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562220.110776 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.8e.00.00.00.00.00.00.00.00.41.1e.29.32.0f.52
1305562220.362956 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562220.403829 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562220.582926 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562220.633775 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.52.00.00.00.00.00.00.00.00.41.0f.d0.eb.cb.12
1305562220.929473 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562220.958828 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562221.139473 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562221.174768 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.8e.00.00.00.00.00.00.00.00.41.1b.66.fd.52.e5
1305562221.418619 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562221.438828 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562221.639583 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562221.694767 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.c4.00.00.00.00.00.00.00.00.41.25.84.6a.dc.ed
1305562222.031700 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562222.078759 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562222.263334 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562222.306756 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.a6.00.00.00.00.00.00.00.00.41.22.c2.35.99.96
1305562222.547564 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562222.582773 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562222.763571 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562222.798747 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.cc.00.00.00.00.00.00.00.00.41.27.2c.23.dc.53
1305562223.103560 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1305562223.124320 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305562223.323324 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305562223.358774 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.ac.00.00.00.00.00.00.00.00.41.24.0b.c5.0e.5b
