Port Logger Log: Unix time: 1305561890.71
Ports in use: /dev/ttyUSB0 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 
Comments: Modbus RTU trace of the pipeline lab in 'Off' mode taken using a tap cable, so the timestamps should be highly reliable. USB0 is the master unit, USB2 is the slave. They were connected at 9600 Baud 8n1. This trace was taken directly and is not a translation from ModbusASCII.
1305561890.787374 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561890.822767 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.47.00.00.00.00.00.00.00.00.3e.0d.3d.cb.13.d1
1305561891.065672 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561891.090780 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561891.303360 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561891.339577 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.47.00.00.00.00.00.00.00.00.3e.0d.3d.cb.13.d1
1305561891.643760 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561891.670768 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561891.862762 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561891.906758 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.44.00.00.00.00.00.00.00.00.3d.d3.dc.b0.7e.1f
1305561892.138749 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561892.166757 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561892.474732 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561892.522749 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.45.00.00.00.00.00.00.00.00.3d.eb.66.fd.4e.06
1305561892.750750 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561892.781219 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561892.970748 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561893.026743 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.44.00.00.00.00.00.00.00.00.3d.bc.52.64.2b.fd
1305561893.246749 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561893.286763 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561893.599567 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561893.646780 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3d.eb.66.fd.4b.c5
1305561893.879570 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561893.902742 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561894.095516 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561894.150772 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3e.0d.3d.cb.11.50
1305561894.486962 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561894.522761 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561894.707324 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561894.766766 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3d.eb.66.fd.4b.c5
1305561894.987562 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561895.026779 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561895.203369 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561895.246744 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.44.00.00.00.00.00.00.00.00.3d.bc.52.64.2b.fd
1305561895.518963 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561895.542826 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561895.725732 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561895.776959 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.44.00.00.00.00.00.00.00.00.3d.eb.66.fd.4c.87
1305561896.007864 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561896.038632 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561896.223330 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561896.282779 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3e.01.78.a5.62.2f
1305561896.563612 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561896.586828 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561896.783398 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561896.822772 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.48.00.00.00.00.00.00.00.00.3e.19.02.f1.d6.39
1305561897.063559 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561897.082798 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561897.294904 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561897.330775 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3d.eb.66.fd.4b.c5
1305561897.691068 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561897.738777 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561897.911556 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561897.950776 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.44.00.00.00.00.00.00.00.00.3d.d3.dc.b0.7e.1f
1305561898.187069 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561898.214784 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561898.520988 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561898.566785 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.44.00.00.00.00.00.00.00.00.3d.bc.52.64.2b.fd
1305561898.801117 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561898.834763 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561899.017815 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561899.068754 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.45.00.00.00.00.00.00.00.00.3d.eb.66.fd.4e.06
1305561899.295338 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561899.330764 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561899.651365 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561899.686774 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3d.eb.66.fd.4b.c5
1305561899.927572 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561899.954775 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561900.147224 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561900.190744 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.45.00.00.00.00.00.00.00.00.3d.eb.66.fd.4e.06
1305561900.539394 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561900.562737 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561900.759069 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561900.806773 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.47.00.00.00.00.00.00.00.00.3e.01.78.a5.60.ae
1305561901.035369 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561901.066169 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561901.255100 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561901.310763 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.44.00.00.00.00.00.00.00.00.3d.bc.52.64.2b.fd
1305561901.619342 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561901.646772 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561901.829435 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561901.866786 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.43.00.00.00.00.00.00.00.01.3d.bc.52.64.1d.7a
1305561902.110417 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561902.154823 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561902.398234 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561902.434766 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.43.00.00.00.00.00.00.00.00.3d.bc.52.64.20.ba
1305561902.667564 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561902.694826 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561902.887367 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561902.942768 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3e.01.78.a5.62.2f
1305561903.163407 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561903.198760 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561903.399339 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561903.450235 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3e.01.78.a5.62.2f
1305561903.743709 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561903.782771 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561903.959373 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561903.998780 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.45.00.00.00.00.00.00.00.00.3d.d3.dc.b0.7c.9e
1305561904.239301 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561904.286770 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561904.571531 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561904.606766 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3d.eb.66.fd.4b.c5
1305561904.850237 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561904.874760 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561905.067397 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561905.110761 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.47.00.00.00.00.00.00.00.00.3e.0d.3d.cb.13.d1
1305561905.344447 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561905.370826 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561905.697343 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561905.738432 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.44.00.00.00.00.00.00.00.00.3d.d3.dc.b0.7e.1f
1305561905.975271 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561905.994811 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561906.195348 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561906.230744 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3e.01.78.a5.62.2f
1305561906.586308 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561906.615328 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561906.807571 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561906.850758 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.47.00.00.00.00.00.00.00.00.3e.0d.3d.cb.13.d1
1305561907.083409 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561907.110827 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561907.303078 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561907.358768 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.47.00.00.00.00.00.00.00.00.3e.0d.3d.cb.13.d1
1305561907.714619 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561907.738766 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561907.931568 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561907.972368 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.45.00.00.00.00.00.00.00.00.3d.eb.66.fd.4e.06
1305561908.211374 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561908.235928 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561908.547567 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561908.590739 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.45.00.00.00.00.00.00.00.00.3d.eb.66.fd.4e.06
1305561908.823507 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561908.850828 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561909.039346 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561909.094767 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.45.00.00.00.00.00.00.00.00.3d.eb.66.fd.4e.06
1305561909.318725 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561909.354777 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561909.670658 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561909.710774 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.45.00.00.00.00.00.00.00.00.3d.eb.66.fd.4e.06
1305561909.948242 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561909.968972 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561910.167212 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561910.214774 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.44.00.00.00.00.00.00.00.00.3d.d3.dc.b0.7e.1f
1305561910.515562 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561910.550772 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561910.723555 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561910.758769 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3e.01.78.a5.62.2f
1305561911.003505 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561911.054569 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561911.222857 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561911.262782 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.47.00.00.00.00.00.00.00.00.3e.0d.3d.cb.13.d1
1305561911.517430 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561911.558753 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561911.799563 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561911.846771 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.44.00.00.00.00.00.00.00.00.3d.d3.dc.b0.7e.1f
1305561912.078839 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561912.102813 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561912.295921 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561912.350770 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.45.00.00.00.00.00.00.00.00.3d.d3.dc.b0.7c.9e
1305561912.686611 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561912.717387 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561912.907375 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561912.966782 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.47.00.00.00.00.00.00.00.00.3e.01.78.a5.60.ae
1305561913.186872 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561913.226759 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561913.473599 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561913.506765 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.45.00.00.00.00.00.00.00.00.3d.eb.66.fd.4e.06
1305561913.815561 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561913.842825 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561914.035558 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561914.086514 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3e.01.78.a5.62.2f
1305561914.315319 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
1305561914.346107 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1305561914.647413 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1305561914.702765 : /dev/ttyUSB2 : 04.03.12.10.00.0e.00.0c.46.00.00.00.00.00.00.00.00.3d.eb.66.fd.4b.c5
1305561914.923569 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.00.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.99.bf
