Port Logger Log: Unix time: 1304701106.92
Ports in use: /dev/ttyUSB0 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1304701109.86 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701120.02 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701130.06 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701130.44 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.31.30.30.45.31.30.30.45.37.32.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.30.43.46.31.34.39.39.36.44.0d.0a
1304701130.76 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701131.28 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701131.63 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701132.03 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.31.30.30.45.31.30.30.46.30.35.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.30.32.39.33.32.31.39.45.0d.0a
1304701132.33 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701132.83 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701133.07 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701133.46 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.31.30.30.45.31.30.30.46.37.39.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.31.38.31.37.38.41.32.37.0d.0a
1304701133.84 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701134.34 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701134.64 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701135.86 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.31.30.30.45.31.30.30.46.46.34.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.32.45.42.36.37.30.31.31.0d.0a
1304701136.21 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701136.68 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701136.9 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701137.27 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.31.30.30.45.31.30.31.30.39.38.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.34.43.44.46.41.32.46.33.0d.0a
1304701137.68 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701138.15 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701138.42 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701138.78 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.31.30.30.45.31.30.31.31.30.31.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.36.30.32.46.31.35.42.32.0d.0a
1304701139.11 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701139.62 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701139.86 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701140.25 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.33.30.30.45.33.30.31.30.45.37.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.35.43.42.30.38.44.39.38.0d.0a
1304701140.68 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701141.17 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701141.42 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701141.8 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.31.30.30.45.31.30.31.31.33.43.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.36.41.44.39.42.46.31.39.0d.0a
1304701142.13 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701142.6 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701142.82 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701143.27 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.31.30.30.45.31.30.31.31.39.46.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.37.44.33.44.43.42.33.33.0d.0a
1304701143.59 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701144.07 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701144.27 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701144.66 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.33.30.30.45.33.30.31.31.33.39.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.36.42.43.35.32.36.38.38.0d.0a
1304701144.98 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701145.46 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701145.79 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701146.17 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.31.30.30.45.31.30.31.31.33.44.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.36.42.30.38.44.34.44.33.0d.0a
1304701146.49 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701146.97 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701147.17 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701147.56 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.33.30.30.45.33.30.31.31.38.46.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.37.42.43.35.32.36.32.32.0d.0a
1304701147.9 : /dev/ttyUSB2 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.32.34.30.30.30.31.30.30.30.32.30.30.30.30.30.30.30.31.30.30.30.30.30.30.30.30.34.31.37.30.30.30.30.30.37.33.30.30.30.30.30.30.33.45.34.43.43.43.43.44.30.30.30.30.30.30.30.30.33.46.30.30.30.30.30.30.33.46.38.30.30.30.30.30.37.39.0d.0a
1304701148.36 : /dev/ttyUSB0 : 3a.30.34.31.30.30.42.45.39.30.30.31.32.45.36.0d.0a
1304701148.69 : /dev/ttyUSB2 : 3a.30.34.30.33.30.42.42.37.30.30.30.39.32.45.0d.0a
1304701149.07 : /dev/ttyUSB0 : 3a.30.34.30.33.31.32.31.30.33.30.30.45.33.30.31.31.31.31.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.30.34.31.36.34.33.41.44.39.38.46.0d.0a
