Port Logger Log: Unix time: 1306287209.52
Ports in use: /dev/ttyUSB0 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306287209.658636 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287210.038654 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287210.210647 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.a0.00.00.00.00.00.00.00.00.41.1f.14.99.5f.81
1306287210.578642 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287210.787110 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287211.122621 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287211.310664 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.10.02.00.00.00.00.00.00.00.00.41.31.49.90.5e.22
1306287211.678667 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287211.894629 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287212.229139 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287212.432197 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.a9.00.00.00.00.00.00.00.00.41.22.34.f7.72.7a
1306287212.886672 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287213.086659 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287213.421857 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287213.638641 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.5b.00.00.00.00.00.00.00.00.41.13.ad.9c.4f.b9
1306287214.042618 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287214.235361 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287214.578654 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287214.794650 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.61.00.00.00.00.00.00.00.01.41.13.4f.72.da.bd
1306287215.182662 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287215.406471 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287215.855200 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287216.043600 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.d8.00.00.00.00.00.00.00.00.41.29.90.2f.fd.41
1306287216.390679 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287216.550601 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287216.936889 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287217.109331 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.b1.00.00.00.00.00.00.00.00.41.23.7e.87.34.e6
1306287217.478665 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287217.711200 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287218.146655 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287218.338653 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.5b.00.00.00.00.00.00.00.00.41.13.ad.9c.76.6b
1306287218.690663 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287218.854664 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287219.178662 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287219.406663 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.c0.00.00.00.00.00.00.00.00.41.24.c8.17.77.48
1306287219.790671 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287220.022657 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287220.390666 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287220.566583 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.10.05.00.00.00.00.00.00.00.00.41.33.7e.87.9b.49
1306287220.994668 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287221.219186 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287221.582664 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287221.763205 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.98.00.00.00.00.00.00.00.00.41.1f.14.99.38.eb
1306287222.154641 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287222.374641 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287222.686665 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287222.886640 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.52.00.00.00.00.00.00.00.00.41.12.05.e2.fc.50
1306287232.930671 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287233.146662 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287233.458662 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287233.650669 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.b4.00.00.00.00.00.00.00.00.41.22.c2.35.a0.44
1306287243.578674 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287243.818632 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287244.302573 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287244.498579 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.95.00.00.00.00.00.00.00.00.41.1e.87.5b.97.07
1306287254.474646 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287254.658644 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287255.125708 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287255.338662 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.b8.00.00.00.00.00.00.00.00.41.23.7e.87.10.fd
1306287265.350662 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287265.554019 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287265.886660 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287266.109665 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.cf.00.00.00.00.00.00.00.00.41.29.32.06.49.fa
1306287276.057635 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287276.283183 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287276.622671 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287276.835198 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.59.00.00.00.00.00.00.00.00.41.13.20.5e.ac.3a
1306287286.794657 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287287.007210 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287287.442807 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287287.642660 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.b6.00.00.00.00.00.00.00.00.41.23.20.5e.ff.89
1306287297.617103 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287297.810676 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287298.154640 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287298.354641 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.99.00.00.00.00.00.00.00.00.41.1f.43.ad.05.8d
1306287308.274660 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287308.522675 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287308.886646 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287309.066655 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.9f.00.00.00.00.00.00.00.00.41.1e.e5.85.1f.e7
1306287319.062680 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306287319.235382 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306287319.658652 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306287319.838662 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.e9.00.00.00.00.00.00.00.00.41.2e.29.32.85.ba
