Port Logger Log: Unix time: 1306288027.95
Ports in use: /dev/ttyUSB0 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306288028.318640 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288028.546668 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288028.906660 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288029.102589 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.45.00.00.00.00.00.00.00.00.41.0f.72.c3.be.69
1306288029.455711 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288029.703182 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288030.130659 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288030.343524 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.89.00.00.00.00.00.00.00.00.41.1a.aa.aa.1c.9c
1306288030.722642 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288030.956315 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288031.318651 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288031.530651 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.e0.00.00.00.00.00.00.00.00.41.2c.81.79.06.44
1306288031.858641 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288032.054649 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288032.422648 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288032.598638 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.7e.00.00.00.00.00.00.00.00.41.1a.1d.6d.58.9a
1306288032.962676 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288033.174637 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288033.509354 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288033.707200 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.64.00.00.00.00.00.00.00.00.41.14.0b.c5.29.cf
1306288034.062271 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288034.278660 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288034.613287 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288034.822654 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.c8.00.00.00.00.00.00.00.00.41.26.6f.d1.33.a2
1306288035.268868 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288035.466666 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288035.806652 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288036.018660 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.c8.00.00.00.00.00.00.00.00.41.27.e8.76.79.fa
1306288036.430663 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288036.626642 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288036.962638 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288037.175429 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.6c.00.00.00.00.00.00.00.00.41.16.9e.e5.c0.1d
1306288037.566659 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288037.774656 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288038.118658 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288038.321344 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.a8.00.00.00.00.00.00.00.00.41.20.5e.29.46.11
1306288038.670598 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288038.890673 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288039.322663 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288039.514644 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.10.09.00.00.00.00.00.00.00.00.41.33.7e.87.8a.85
1306288039.862685 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288040.086039 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288040.478632 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288040.678650 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.98.00.00.00.00.00.00.00.00.41.1f.43.ad.07.0c
1306288041.070656 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288041.274639 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288041.618755 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288041.818642 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.88.00.00.00.00.00.00.00.00.41.1a.4c.82.54.63
1306288042.173879 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288042.386672 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288042.721715 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288042.935232 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.eb.00.00.00.00.00.00.00.00.41.2c.b0.8d.31.0a
1306288043.378663 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288043.581723 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288043.914660 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288044.134661 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.d0.00.00.00.00.00.00.00.01.41.29.61.1a.63.9c
1306288044.538627 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288044.741507 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288045.146635 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288045.334627 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.73.00.00.00.00.00.00.00.00.41.18.17.8a.ac.fd
1306288055.470631 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288055.714217 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288065.582663 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288065.778663 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.c7.00.00.00.00.00.00.00.00.41.27.8a.4c.c4.86
1306288075.741286 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288075.924059 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288085.850651 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288086.046616 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.c5.00.00.00.00.00.00.00.00.41.25.b3.7f.09.93
1306288096.066659 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288096.310390 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288106.122658 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288106.306665 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.84.00.00.00.00.00.00.00.00.41.19.ee.58.4d.54
1306288116.226643 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288116.422645 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288126.334652 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288126.555192 : /dev/ttyUSB2 : 04.03.12.10.10.0e.10.0f.39.00.00.00.00.00.00.00.00.41.0c.23.50.a4.ba
1306288136.439494 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288136.666632 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
1306288146.550660 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306288146.773655 : /dev/ttyUSB2 : 04.03.12.10.30.0e.30.0f.5a.00.00.00.00.00.00.00.00.41.13.4f.72.85.d4
1306288156.766662 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.40.7f
1306288156.978635 : /dev/ttyUSB2 : 04.10.0b.e9.00.12.93.81
