Port Logger Log: Unix time: 1306786276.58
Ports in use: /dev/pts/3 /dev/ttyUSB0
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306786292.988197 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786293.025321 : /dev/pts/3 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306786293.711682 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.01.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.85.b7
1306786293.720134 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786294.215684 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786294.271705 : /dev/pts/3 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306786294.863642 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.01.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.85.b7
1306786294.872660 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786295.368153 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786295.415672 : /dev/pts/3 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306786296.003669 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.01.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.85.b7
1306786296.014181 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786296.519722 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786296.571643 : /dev/pts/3 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306786297.116217 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.01.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.85.b7
1306786297.126716 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786297.751683 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786297.807705 : /dev/pts/3 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306786298.359666 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.01.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.85.b7
1306786298.370131 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786298.904649 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786298.935259 : /dev/pts/3 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306786299.621234 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786299.631736 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786300.135987 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786300.186801 : /dev/pts/3 : 04.03.12.00.00.00.00.0c.94.00.00.00.00.00.00.00.00.3f.6e.3e.e3.58.2e
1306786300.887687 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786300.898260 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786301.367645 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786301.412140 : /dev/pts/3 : 04.03.12.00.00.00.00.0d.3c.00.00.00.00.00.00.00.00.40.39.00.48.3e.dd
1306786301.959702 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786301.970207 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786302.477541 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786302.519667 : /dev/pts/3 : 04.03.12.00.00.00.00.0d.b3.00.00.00.00.00.00.00.00.40.88.a1.fa.7c.d1
1306786303.111721 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786303.122250 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786303.751001 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786303.787916 : /dev/pts/3 : 04.03.12.00.00.00.00.0e.2d.00.00.00.00.00.00.00.00.40.b5.7d.a1.20.fa
1306786304.360160 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786304.370662 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786304.903663 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786304.943667 : /dev/pts/3 : 04.03.12.00.00.00.00.0e.90.00.00.00.00.00.00.00.00.40.da.08.f3.1a.f6
1306786305.535678 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786305.546159 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786306.053254 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786306.099753 : /dev/pts/3 : 04.03.12.00.00.00.00.0e.f2.00.00.00.00.00.00.00.00.40.fe.22.4f.c2.ce
1306786306.687482 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786306.695653 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786307.207940 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786307.238659 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.4f.00.00.00.00.00.00.00.00.41.10.49.78.60.5c
1306786307.853110 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786307.863611 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786308.317344 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786308.368104 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.a5.00.00.00.00.00.00.00.00.41.20.25.27.6b.00
1306786308.964200 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786308.974674 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786309.431065 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786309.464509 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.a2.00.00.00.00.00.00.00.00.41.20.7b.50.18.01
1306786310.062709 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786310.072152 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786310.584218 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786310.640761 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.a0.00.00.00.00.00.00.00.00.41.1f.b0.ee.f8.0f
1306786311.176120 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786311.186616 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786311.812160 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786311.859701 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.a1.00.00.00.00.00.00.00.00.41.20.48.4d.c9.3b
1306786312.419731 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786312.430255 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786312.963915 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786312.994556 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.a5.00.00.00.00.00.00.00.00.41.21.16.bd.ae.5b
1306786313.571691 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786313.582212 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786314.038869 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786314.076156 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.a2.00.00.00.00.00.00.00.00.41.1f.92.19.a6.6b
1306786314.671685 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786314.680129 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786315.191666 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786315.242571 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.a6.00.00.00.00.00.00.00.00.41.20.41.d8.04.43
1306786315.942184 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786315.952176 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786316.459196 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786316.503666 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.9f.00.00.00.00.00.00.00.00.41.1f.de.ec.00.51
1306786317.096162 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786317.106737 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
