Port Logger Log: Unix time: 1306336841.88
Ports in use: /dev/pts/5 /dev/pts/6
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306336843.050621 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336843.107582 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336843.299114 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336843.382252 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336843.594397 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336843.662875 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336843.856657 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336843.939802 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336844.127621 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336844.191545 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336844.375447 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336844.464089 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336844.664830 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336844.731540 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336845.057612 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336845.151615 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336845.471585 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336845.524229 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336845.739023 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336845.811542 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336845.990913 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336846.035564 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336846.371604 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336846.451714 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336846.655623 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336846.711538 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336846.895627 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336846.971521 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336847.171313 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336847.239052 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336847.431593 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336847.524894 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336847.715616 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336847.783171 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336848.115673 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336848.219152 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336848.439570 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336848.498095 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336848.843864 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336848.916558 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336849.263624 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336849.331580 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336849.519644 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336849.623045 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336849.823105 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336849.881556 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336850.083600 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336850.186983 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336850.419037 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336850.471544 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336850.687550 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336850.775531 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336850.995116 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336851.053226 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336851.283044 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336851.374111 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336851.559555 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336851.615113 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336851.811601 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336851.904782 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336852.195591 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336852.239534 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336852.432669 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336852.533288 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336852.823596 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336852.861746 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336853.059588 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336853.140498 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336853.309923 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336853.375034 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336853.691582 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336853.783555 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336853.991583 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336854.043558 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336854.255603 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336854.338735 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336854.524839 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336854.571808 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336854.887599 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336854.983543 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336855.193927 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336855.242109 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1306336855.455596 : /dev/pts/5 : 04.10.0b.e9.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f2.04
1306336855.567058 : /dev/pts/6 : 04.10.0b.e9.00.12.93.81
1306336855.779584 : /dev/pts/5 : 04.03.0b.b7.00.09.37.9b
1306336855.841641 : /dev/pts/6 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
