Port Logger Log: Unix time: 1305597061.86
Ports in use: /dev/pts/6 /dev/pts/7
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1305597063.298578 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597063.320261 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597063.500538 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597063.553308 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597063.721274 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597063.736257 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597063.916265 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597063.969101 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597064.136239 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597064.152787 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597064.332280 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597064.384215 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597064.548222 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597064.566250 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597064.744215 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597064.796261 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597064.960259 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597064.976194 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597065.156196 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597065.208204 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597065.372196 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597065.388639 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597065.568484 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597065.621391 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597065.788790 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597065.804267 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597065.984200 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597066.036214 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597066.200304 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597066.216271 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597066.396273 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597066.448213 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597066.612286 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597066.628193 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597066.808185 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597066.860914 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597067.028546 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597067.045510 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597067.224789 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597067.276823 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597067.444813 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597067.460187 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597067.640309 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597067.692196 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597067.856173 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597067.872195 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597068.053285 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597068.106218 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597068.272338 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597068.288194 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597068.468263 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597068.520199 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597068.684256 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597068.700204 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597068.880268 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597068.933199 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597069.100819 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597069.118160 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597069.296214 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597069.349112 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597069.516224 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597069.534182 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597069.716207 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597069.768183 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597069.932202 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597069.950227 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597070.128213 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597070.180546 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597070.350843 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597070.368949 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597070.548272 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597070.600214 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597070.764206 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597070.780767 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597070.961785 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597071.012339 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597071.176372 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597071.192504 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597071.372210 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597071.424225 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597071.588209 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597071.604198 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305597071.784211 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305597071.836189 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305597071.996139 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305597072.012247 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
