Port Logger Log: Unix time: 1305570510.11
Ports in use: /dev/pts/7 /dev/pts/8
Format : <Timestamp (Unix time)> : <port file name> : <packet> 
Comments: Modified master simulation in off mode using higer resolution timestamps. No baud rate emulation was used.
1305570511.703706 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570511.716200 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570511.876180 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570511.886647 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570512.044202 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570512.052021 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570512.211762 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570512.222245 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570512.379675 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570512.387652 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570512.547748 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570512.558265 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570512.716225 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570512.723660 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570512.884184 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570512.894654 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570513.052174 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570513.059769 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570513.219686 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570513.230156 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570513.384078 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570513.391764 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570513.552185 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570513.559991 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570513.720176 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570513.727656 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570513.888177 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570513.898640 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570514.056154 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570514.063686 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570514.224038 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570514.234525 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570514.392181 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570514.400299 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570514.563121 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570514.572155 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570514.732301 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570514.739660 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570514.900196 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570514.910692 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570515.067697 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570515.075658 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570515.235769 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570515.246270 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570515.403668 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570515.412172 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570515.571667 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570515.582099 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570515.736042 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570515.743638 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570515.903687 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570515.914186 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570516.071824 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570516.079702 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570516.240255 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570516.250728 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570516.408187 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570516.415861 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570516.576205 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570516.586678 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570516.744175 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570516.751892 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570516.912591 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570516.923063 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570517.075835 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570517.083660 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570517.244173 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570517.254659 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570517.408466 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570517.415677 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570517.575786 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570517.583653 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570517.744225 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570517.752172 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570517.912174 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570517.922660 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570518.079687 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570518.087671 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570518.247714 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570518.258175 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570518.412170 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570518.420178 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570518.579665 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570518.590164 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570518.748180 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570518.755754 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570518.916189 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570518.926681 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570519.083704 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570519.091698 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570519.251683 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570519.262134 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570519.420743 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570519.427660 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570519.587694 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570519.598185 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570519.756181 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570519.763903 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570519.923677 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570519.934124 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570520.091683 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570520.099727 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570520.259664 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570520.270149 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570520.428206 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570520.435756 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570520.595661 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570520.604153 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570520.764223 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570520.772386 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570520.931695 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570520.942205 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570521.099670 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570521.107687 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570521.268193 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570521.278689 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570521.435668 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305570521.443682 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305570521.603686 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305570521.614143 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305570521.770339 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
