Port Logger Log: Unix time: 1305409181.15
Ports in use: /dev/pts/4 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 
Comments: Logging virtual pipeline in off mode through a null modem cable at 9600 baud. This log uses the new timestamp location and 6-decimal format.
1305409214.972501 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409214.982908 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409215.215978 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409215.226471 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409215.403985 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409215.412030 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409215.644043 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409215.654524 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409215.833317 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409215.840481 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409216.073805 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409216.084016 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409216.259985 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
