Port Logger Log: Unix time: 1305905081.6
Ports in use: /dev/pts/7 /dev/pts/8
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1305905083.327212 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905083.372308 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905083.607066 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905083.704020 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905083.975474 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905084.032032 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905084.260296 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905084.348404 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905084.563815 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905084.619813 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905084.839801 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905084.931828 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905085.159840 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905085.216381 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905085.451309 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905085.547807 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905085.751810 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905085.790234 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905086.004294 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905086.099863 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905086.420307 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905086.483789 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905086.672405 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905086.767927 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905087.004316 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905087.064428 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905087.299155 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905087.387818 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905087.671774 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905087.739827 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.75.00.00.00.00.00.00.00.00.3f.0e.31.53.20.94
1305905088.000222 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905088.091781 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905088.256308 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905088.324306 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.d4.00.00.00.00.00.00.00.00.3f.d7.14.32.a8.37
1305905088.539020 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905088.627918 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905088.827971 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905088.892088 : /dev/pts/8 : 04.03.12.00.00.00.00.0d.1b.00.00.00.00.00.00.00.00.40.20.7f.c4.ba.a8
1305905089.084343 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905089.183809 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905089.411814 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905089.464307 : /dev/pts/8 : 04.03.12.00.00.00.00.0d.5b.00.00.00.00.00.00.00.00.40.50.0d.c0.60.d0
1305905089.820316 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905089.919800 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905090.190728 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905090.236310 : /dev/pts/8 : 04.03.12.00.00.00.00.0d.b0.00.00.00.00.00.00.00.00.40.87.ae.05.0c.a1
1305905090.471549 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905090.575181 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905090.785703 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905090.852301 : /dev/pts/8 : 04.03.12.00.00.00.00.0d.e8.00.00.00.00.00.00.00.00.40.9c.01.fd.df.cc
1305905091.032143 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905091.135524 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905091.304391 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905091.340332 : /dev/pts/8 : 04.03.12.00.00.00.00.0e.18.00.00.00.00.00.00.00.00.40.ad.c4.44.5f.13
1305905091.591992 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905091.695645 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905091.880277 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905091.915955 : /dev/pts/8 : 04.03.12.00.00.00.00.0e.4f.00.00.00.00.00.00.00.00.40.c2.43.50.c7.e6
1305905092.143807 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905092.231978 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905092.435890 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905092.492044 : /dev/pts/8 : 04.03.12.00.00.00.00.0e.81.00.00.00.00.00.00.00.00.40.d4.74.5b.66.5a
1305905092.676274 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905092.759515 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905092.988329 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905093.031769 : /dev/pts/8 : 04.03.12.00.00.00.00.0e.b0.00.00.00.00.00.00.00.00.40.e6.20.4f.ba.2b
1305905093.283799 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905093.383931 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905093.579970 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905093.628511 : /dev/pts/8 : 04.03.12.00.00.00.00.0e.df.00.00.00.00.00.00.00.00.40.f7.58.5d.dd.8c
1305905093.823083 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905093.906847 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905094.087347 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905094.131850 : /dev/pts/8 : 04.03.12.00.00.00.00.0f.0d.00.00.00.00.00.00.00.00.41.04.18.4d.24.5d
1305905094.335798 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905094.415868 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905094.631836 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905094.680262 : /dev/pts/8 : 04.03.12.00.00.00.00.0f.3a.00.00.00.00.00.00.00.00.41.0c.55.2d.da.50
1305905095.000307 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905095.087818 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905095.280371 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905095.331781 : /dev/pts/8 : 04.03.12.00.00.00.00.0f.69.00.00.00.00.00.00.00.00.41.15.25.63.6b.f0
1305905095.519838 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.01.00.02.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.f3.0f
1305905095.623276 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905095.851800 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905095.907916 : /dev/pts/8 : 04.03.12.00.00.00.00.0f.98.00.00.00.00.00.00.00.00.41.1d.c8.5c.a5.02
