Port Logger Log: Unix time: 1305905515.26
Ports in use: /dev/pts/7 /dev/pts/8
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1305905516.972324 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905517.039937 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905517.396294 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905517.496237 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905517.800309 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905517.843808 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905518.059805 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905518.151845 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905518.332010 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905518.400303 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905518.660307 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905518.760821 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905518.955886 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905518.992316 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905519.177184 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905519.263811 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905519.447955 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905519.511846 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905519.743841 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905519.839842 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905520.144322 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905520.187834 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905520.503314 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905520.583910 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905520.772283 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905520.839832 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905521.107809 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905521.207819 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905521.431791 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905521.490391 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905521.764988 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905521.843786 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905522.027857 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905522.076329 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905522.292826 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905522.388288 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905522.578553 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905522.627509 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905522.892424 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905522.972345 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905523.159873 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905523.223830 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905523.453373 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905523.532322 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905523.731835 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905523.784870 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905524.003825 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905524.087021 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905524.303794 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905524.352295 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905524.587827 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905524.671999 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905524.880364 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905524.919786 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905525.243852 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905525.316266 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905525.526881 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905525.575217 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905525.796007 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905525.875799 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905526.036738 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905526.074859 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905526.287803 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905526.387796 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905526.583809 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905526.647914 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905526.867850 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905526.960335 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905527.235805 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905527.299801 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905527.611806 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905527.699813 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905527.947739 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905528.007938 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905528.364117 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905528.439792 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905528.631820 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905528.671784 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905528.916733 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905529.010040 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905529.221439 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905529.279666 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
1305905529.547763 : /dev/pts/7 : 04.10.0b.ea.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.06.0f
1305905529.619810 : /dev/pts/8 : 04.10.0b.ea.00.12.63.81
1305905529.784792 : /dev/pts/7 : 04.03.0b.b8.00.09.07.98
1305905529.843357 : /dev/pts/8 : 04.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.f0.a0
