Port Logger Log: Unix time: 1305670815.6
Ports in use: /dev/pts/6 /dev/pts/7
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1305670817.196602 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670817.240858 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670817.488742 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670817.571892 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670817.802899 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670817.856746 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670818.101666 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670818.193375 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670818.380740 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670818.416738 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670818.772739 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670818.864752 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670819.092696 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670819.141025 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670819.345240 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670819.417196 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670819.648732 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670819.692733 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670819.896705 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670819.996757 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670820.227391 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670820.284830 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670820.532752 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670820.630096 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670820.920757 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670820.979317 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670821.228764 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670821.308760 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670821.589883 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670821.652727 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670821.952759 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670822.025890 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670822.212738 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670822.276879 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670822.521669 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670822.597250 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670822.784774 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670822.848942 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670823.096741 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670823.177231 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670823.408731 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670823.452761 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670823.700752 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670823.776738 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670824.113252 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670824.156723 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670824.361038 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670824.449015 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670824.784770 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670824.840904 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670825.085661 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670825.173228 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670825.364714 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670825.424752 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670825.669927 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670825.772756 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670826.000956 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670826.057466 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670826.408744 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670826.481904 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670826.668702 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670826.717210 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670827.016729 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670827.099988 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670827.284721 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670827.343112 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670827.593257 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670827.672769 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670827.903753 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670827.948999 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670828.197181 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670828.280420 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670828.511971 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670828.550367 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670828.795470 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670828.893553 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670829.180787 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670829.228735 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670829.476743 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670829.564733 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670829.900743 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670829.959510 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305670830.261816 : /dev/pts/6 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305670830.334687 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305670830.565780 : /dev/pts/6 : 01.03.a7.f8.00.09.27.49
1305670830.600720 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
