Port Logger Log: Unix time: 1305689656.27
Ports in use: /dev/pts/4 /dev/pts/6
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1305689657.860988 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689657.924836 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689658.156996 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689658.250706 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689658.432463 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689658.481017 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689658.716977 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689658.800498 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689659.028480 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689659.080479 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689659.372484 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689659.453006 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689659.680631 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689659.724491 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689659.952515 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689660.035892 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689660.225466 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689660.276722 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689660.468472 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689660.568499 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689660.776492 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689660.825129 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689661.032458 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689661.132444 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689661.308475 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689661.352997 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689661.580458 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689661.672745 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689661.874604 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689661.928514 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689662.174510 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689662.260604 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689662.468489 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689662.520496 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689662.747178 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689662.824967 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689663.107361 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689663.144494 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689663.364475 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689663.460491 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689663.656688 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689663.724487 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689663.952952 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689664.026207 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689664.247570 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689664.312638 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689664.496535 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689664.584648 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689664.800488 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689664.859389 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689665.061537 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689665.148524 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689665.352632 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689665.411808 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689665.719547 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689665.820497 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689666.001565 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689666.040044 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689666.255070 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689666.332619 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689666.672809 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689666.712506 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689666.924483 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689667.028471 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689667.224479 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689667.292523 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689667.608492 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689667.704466 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689667.892478 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689667.944988 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689668.136483 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689668.210027 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689668.503045 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689668.548506 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689668.728476 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689668.805015 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689669.016527 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689669.060915 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689669.255920 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689669.348492 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689669.516475 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689669.575544 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305689669.768499 : /dev/pts/4 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305689669.848514 : /dev/pts/6 : 01.10.a8.2a.00.12.41.ac
1305689670.021157 : /dev/pts/4 : 01.03.a7.f8.00.09.27.49
1305689670.080013 : /dev/pts/6 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
