Port Logger Log: Unix time: 1305684980.34
Ports in use: /dev/pts/7 /dev/pts/8
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1305684981.877888 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684981.921020 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684982.100478 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684982.194405 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684982.360679 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684982.396636 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684982.576500 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684982.680424 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684982.844480 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684982.908741 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684983.088514 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684983.184700 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684983.348469 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684983.387024 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684983.568468 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684983.668502 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684983.829307 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684983.881547 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684984.061010 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684984.144210 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684984.308462 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684984.356500 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684984.536642 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684984.632520 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684984.796506 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684984.852483 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684985.032471 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684985.120993 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684985.288980 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684985.344496 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684985.524476 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684985.612966 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684985.780512 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684985.824497 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684986.004526 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684986.100547 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684986.261499 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684986.300080 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684986.480463 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684986.572603 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684986.736882 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684986.805078 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684986.984577 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684987.068281 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684987.232990 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684987.296515 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684987.476571 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684987.580526 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684987.745041 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684987.793096 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684987.972723 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684988.072493 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684988.233169 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684988.276999 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684988.456496 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684988.556496 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684988.720492 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684988.776520 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684988.956579 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684989.044599 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684989.208978 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684989.256472 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684989.436982 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684989.516695 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684989.684832 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684989.720641 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684989.900595 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684990.000461 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684990.164477 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684990.220424 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684990.400501 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684990.501012 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684990.668486 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684990.709471 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684990.888458 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684990.968498 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684991.132556 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684991.191542 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684991.372526 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684991.480488 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684991.644461 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684991.708525 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305684991.888515 : /dev/pts/7 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305684991.988589 : /dev/pts/8 : 01.10.a8.2a.00.12.41.ac
1305684992.152930 : /dev/pts/7 : 01.03.a7.f8.00.09.27.49
1305684992.208464 : /dev/pts/8 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
