Port Logger Log: Unix time: 1307386441.23
Ports in use: /dev/ttyUSB0 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1307386441.415808 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386441.475587 : /dev/ttyUSB2 : 07.03.14.10.10.0e.10.16.0c.00.01.00.00.00.00.00.00.42.6c.0b.10.00.00.7d.b3
1307386441.687521 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386441.718960 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386441.934547 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386441.995573 : /dev/ttyUSB2 : 07.03.14.10.10.0e.10.16.13.00.01.00.00.00.00.00.00.42.6d.11.07.00.00.a8.67
1307386442.195473 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386442.236268 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386442.378367 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386442.419212 : /dev/ttyUSB2 : 07.03.14.10.10.0e.10.16.1a.00.01.00.00.00.00.00.00.42.6e.34.1a.00.00.be.6b
1307386442.755469 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386442.795693 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386442.935694 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386442.975665 : /dev/ttyUSB2 : 07.03.14.10.10.0e.10.16.21.00.01.00.00.00.00.00.00.42.6f.1c.f7.00.00.61.2d
1307386443.195700 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386443.216812 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386443.375510 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386443.411659 : /dev/ttyUSB2 : 07.03.14.10.10.0e.10.16.31.00.01.00.00.00.00.00.00.42.70.ee.ae.00.00.06.48
1307386443.655475 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386443.695665 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386443.899689 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386443.941252 : /dev/ttyUSB2 : 07.03.14.10.10.0e.10.16.30.00.01.00.00.00.00.00.00.42.71.9d.54.00.00.c0.3d
1307386444.159659 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386444.179536 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386444.343644 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386444.383681 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.16.23.00.01.00.00.00.00.00.00.42.70.7a.40.00.00.11.46
1307386444.671302 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386444.695665 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386444.847269 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386444.903661 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.b8.00.01.00.00.00.00.00.00.42.63.49.c9.00.00.d1.b1
1307386445.106858 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386445.142877 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386445.285575 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386445.346209 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.b5.00.01.00.00.00.00.00.00.42.62.60.ee.00.00.99.23
1307386445.547532 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386445.591528 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386445.863670 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386445.903516 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.bb.00.01.00.00.00.00.00.00.42.63.66.e4.00.00.0a.6d
1307386446.125949 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386446.146619 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386446.307665 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386446.348862 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.c0.00.01.00.00.00.00.00.00.42.64.15.8a.00.00.ff.d7
1307386446.564461 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386446.595343 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386446.810379 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386446.867701 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.c4.00.01.00.00.00.00.00.00.42.64.6c.dd.00.00.53.58
1307386447.071467 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386447.112850 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386447.251720 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386447.291527 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.c6.00.01.00.00.00.00.00.00.42.64.a7.14.00.00.3f.43
1307386447.511469 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386447.532418 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386447.779475 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386447.834926 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.c1.00.01.00.00.00.00.00.00.42.64.15.8a.00.00.3e.d7
1307386448.035670 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386448.083414 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386448.216537 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386448.255518 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.b8.00.01.00.00.00.00.00.00.42.63.2c.ad.00.00.8e.a2
1307386448.475663 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386448.503470 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386448.771656 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386448.813448 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.ae.00.01.00.00.00.00.00.00.42.62.09.9b.00.00.ce.6e
1307386449.035659 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386449.059403 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386449.215088 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386449.259452 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.a8.00.01.00.00.00.00.00.00.42.61.5a.f6.00.00.8c.f5
1307386449.474732 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386449.495419 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386449.618983 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386449.660139 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.a3.00.01.00.00.00.00.00.00.42.60.c9.6c.00.00.f7.59
1307386449.995498 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386450.023681 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386450.178022 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386450.219594 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.98.00.01.00.00.00.00.00.00.42.5f.89.3e.00.00.2c.5e
1307386450.439663 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386450.463663 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386450.688903 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386450.739668 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.92.00.01.00.00.00.00.00.00.42.5e.bd.7e.00.00.94.7d
1307386450.943514 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386450.983659 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386451.126956 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386451.187106 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.8d.00.01.00.00.00.00.00.00.42.5e.2b.f4.00.00.c7.17
1307386451.383478 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386451.427663 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386451.567155 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386451.607530 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.86.00.01.00.00.00.00.00.00.42.5d.9a.6a.00.00.8e.c2
1307386451.963660 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386451.984630 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386452.143173 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386452.191445 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.7d.00.01.00.00.00.00.00.00.42.5c.5a.3c.00.00.d4.51
1307386452.403663 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.06.56
1307386452.431653 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386452.583532 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
