Port Logger Log: Unix time: 1307386953.17
Ports in use: /dev/ttyUSB0 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1307386953.350980 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386953.391682 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.f9.00.01.00.00.00.00.00.00.42.30.59.a7.00.00.32.32
1307386953.627440 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386953.658705 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386953.875635 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386953.935664 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.f2.00.01.00.00.00.00.00.00.42.2f.70.ca.00.00.75.76
1307386954.135427 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386954.177083 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386954.315432 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386954.355654 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.ed.00.01.00.00.00.00.00.00.42.2e.fc.5d.00.00.8c.c2
1307386954.647660 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386954.668550 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386954.818859 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386954.867391 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.e6.00.01.00.00.00.00.00.00.42.2e.13.80.00.00.63.2b
1307386955.082860 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386955.110851 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386955.262831 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386955.314292 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.e1.00.01.00.00.00.00.00.00.42.2d.9f.13.00.00.ba.94
1307386955.523723 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386955.555044 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386955.739654 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386955.795462 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.da.00.01.00.00.00.00.00.00.42.2c.d3.52.00.00.ba.c3
1307386955.991388 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386956.012096 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386956.175645 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386956.216939 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.d5.00.01.00.00.00.00.00.00.42.2c.41.c8.00.00.f9.50
1307386956.431866 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386956.459703 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386956.735703 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386956.771502 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.ce.00.01.00.00.00.00.00.00.42.2b.76.08.00.00.19.d3
1307386956.991659 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386957.015694 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386957.175195 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386957.219249 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.c7.00.01.00.00.00.00.00.00.42.2a.aa.47.00.00.e7.52
1307386957.431421 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386957.451497 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386957.575214 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386957.619505 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.c2.00.01.00.00.00.00.00.00.42.2a.18.be.00.00.d5.18
1307386957.955708 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386957.976664 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386958.138962 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386958.183479 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.bd.00.01.00.00.00.00.00.00.42.29.6a.19.00.00.04.a3
1307386958.398927 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386958.419636 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386958.651681 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386958.691190 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.b6.00.01.00.00.00.00.00.00.42.28.bb.74.00.00.da.85
1307386958.903148 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386958.935654 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386959.083466 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386959.139673 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.b1.00.01.00.00.00.00.00.00.42.28.0c.cf.00.00.ca.16
1307386959.343704 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386959.383466 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386959.527187 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386959.587667 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.a9.00.01.00.00.00.00.00.00.42.27.5e.2a.00.00.87.52
1307386959.919662 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386959.939398 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386960.051487 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386960.103417 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.a3.00.01.00.00.00.00.00.00.42.26.92.69.00.00.fe.11
1307386960.307513 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386960.347496 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386960.490719 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386960.527683 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.9e.00.01.00.00.00.00.00.00.42.26.00.df.00.00.ce.5e
1307386960.811509 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386960.831467 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386960.943707 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386960.999474 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.97.00.01.00.00.00.00.00.00.42.25.35.1f.00.00.4c.a8
1307386961.202934 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386961.243669 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386961.383507 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386961.418919 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.91.00.01.00.00.00.00.00.00.42.24.86.7a.00.00.c1.f1
1307386961.659666 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386961.687509 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386961.907706 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386961.963697 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.8a.00.01.00.00.00.00.00.00.42.23.9d.9e.00.00.69.e9
1307386962.167475 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386962.207496 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386962.351126 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386962.410944 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.84.00.01.00.00.00.00.00.00.42.23.0c.14.00.00.ea.fb
1307386962.677845 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386962.698573 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386962.852694 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386962.891717 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.7d.00.01.00.00.00.00.00.00.42.22.5d.70.00.00.bf.5a
1307386963.111440 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386963.139694 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386963.293032 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386963.338843 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.78.00.01.00.00.00.00.00.00.42.21.ae.ca.00.00.2c.f8
1307386963.554842 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386963.582850 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1307386963.771428 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1307386963.822696 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.13.73.00.01.00.00.00.00.00.00.42.21.00.26.00.00.86.e2
1307386964.023516 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.14.00.32.00.3c.00.5a.7f.ee
1307386964.065209 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
