Port Logger Log: Unix time: 1306276532.92
Ports in use: /dev/ttyUSB0 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306276533.123633 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276533.335937 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e8.00.01.00.00.00.00.00.00.40.e5.38.9e.00.00.e9.a6
1306276533.704614 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276533.898138 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276534.200136 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276534.394305 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e9.00.01.00.00.00.00.00.00.40.e7.0a.55.00.00.2e.20
1306276534.721304 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276534.887763 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276535.171934 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276535.345973 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e9.00.01.00.00.00.00.00.00.40.e5.38.9e.00.00.28.a6
1306276535.692677 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276535.863899 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276536.192442 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276536.388198 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e7.00.01.00.00.00.00.00.00.40.e5.38.9e.00.00.a6.a2
1306276536.713945 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276536.883753 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276537.215926 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276537.408247 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e8.00.01.00.00.00.00.00.00.40.e7.0a.55.00.00.ef.20
1306276537.787674 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276537.972227 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276538.290344 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276538.499928 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e8.00.01.00.00.00.00.00.00.40.e7.0a.55.00.00.ef.20
1306276538.811721 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276538.991757 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276539.311749 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276539.520619 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e8.00.01.00.00.00.00.00.00.40.e6.21.7a.00.00.ea.cd
1306276539.887730 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276540.080837 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276540.387227 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276540.575968 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e4.00.01.00.00.00.00.00.00.40.e5.38.9e.00.00.e5.a3
1306276540.963967 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276541.147638 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276541.464680 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276541.663743 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e7.00.01.00.00.00.00.00.00.40.e6.21.7a.00.00.a5.c9
1306276542.039948 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276542.231771 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276542.538722 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276542.752732 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e8.00.01.00.00.00.00.00.00.40.e7.0a.55.00.00.ef.20
1306276543.116282 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276543.320224 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276543.611704 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276543.806839 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e8.00.01.00.00.00.00.00.00.40.e5.38.9e.00.00.e9.a6
1306276544.135751 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276544.303922 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276544.584177 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276544.755852 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e8.00.01.00.00.00.00.00.00.40.e7.0a.55.00.00.ef.20
1306276545.107692 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276545.320188 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276545.607699 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276545.808126 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e4.00.01.00.00.00.00.00.00.40.e5.38.9e.00.00.e5.a3
1306276546.132210 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276546.303692 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276546.575690 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276546.755675 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e8.00.01.00.00.00.00.00.00.40.e4.4f.c1.00.00.ff.c0
1306276547.099723 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276547.323238 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276547.600087 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276547.782482 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e7.00.01.00.00.00.00.00.00.40.e3.66.e4.00.00.1c.93
1306276548.124481 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276548.303707 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276548.619298 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276548.829132 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e6.00.01.00.00.00.00.00.00.40.e7.0a.55.00.00.61.24
1306276549.200127 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276549.427700 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276549.695861 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276549.880138 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e5.00.01.00.00.00.00.00.00.40.e4.4f.c1.00.00.32.c5
1306276550.219924 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276550.383624 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276550.668177 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276550.839928 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e4.00.01.00.00.00.00.00.00.40.e3.66.e4.00.00.5f.92
1306276551.187927 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276551.402617 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276551.688443 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276551.880182 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e8.00.01.00.00.00.00.00.00.40.e6.21.7a.00.00.ea.cd
1306276552.211794 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276552.412196 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276552.712414 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276552.906249 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e5.00.01.00.00.00.00.00.00.40.e4.4f.c1.00.00.32.c5
1306276553.235927 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276553.403658 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276553.683680 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276553.855936 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e5.00.01.00.00.00.00.00.00.40.e3.66.e4.00.00.9e.92
1306276554.208229 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276554.420171 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276554.704124 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276554.896256 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e6.00.01.00.00.00.00.00.00.40.e3.66.e4.00.00.dd.93
1306276555.228170 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306276555.428254 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306276555.724653 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306276555.924201 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.0e.e5.00.01.00.00.00.00.00.00.40.e3.66.e4.00.00.9e.92
1306276556.249803 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
