Port Logger Log: Unix time: 1306256499.53
Ports in use: /dev/ttyUSB0 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 
Comments: Taken from water system where USB0 is master and USB2 is slave. System is put in manual mode and is pumped up from a level around 50% to around 109% before begin turned off.
1306256499.721816 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306256499.754435 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256499.989777 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256500.030660 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.68.00.01.00.00.00.00.00.00.42.59.f6.fa.00.00.0c.33
1306256500.241812 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306256500.277856 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256500.425827 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256500.481825 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.6a.00.01.00.00.00.00.00.00.42.5a.31.31.00.00.86.b8
1306256500.684418 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306256500.721821 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256500.981904 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256501.033339 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.69.00.01.00.00.00.00.00.00.42.5a.14.15.00.00.8e.be
1306256501.245801 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306256501.276581 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256501.425773 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256501.482304 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.6a.00.01.00.00.00.00.00.00.42.5a.14.15.00.00.cd.bf
1306256501.686039 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306256501.725786 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256501.886504 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256501.927330 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.69.00.01.00.00.00.00.00.00.42.5a.14.15.00.00.8e.be
1306256502.206383 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306256502.241770 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256502.389795 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256502.445772 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.6a.00.01.00.00.00.00.00.00.42.5a.31.31.00.00.86.b8
1306256502.648433 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306256502.690436 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256502.901842 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256502.938906 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.6a.00.01.00.00.00.00.00.00.42.5a.31.31.00.00.86.b8
1306256503.151772 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306256503.172363 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256503.283800 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256503.342293 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.68.00.01.00.00.00.00.00.00.42.59.f6.fa.00.00.0c.33
1306256503.542312 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306256503.583171 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256503.724922 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256503.789770 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.69.00.01.00.00.00.00.00.00.42.59.f6.fa.00.00.cd.33
1306256504.069828 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306256504.100604 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256504.249785 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256504.305802 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.69.00.01.00.00.00.00.00.00.42.5a.14.15.00.00.8e.be
1306256504.508574 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.00.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.84.7e
1306256504.545780 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256504.707826 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256504.753778 : /dev/ttyUSB2 : 07.03.14.10.00.0e.00.15.6a.00.01.00.00.00.00.00.00.42.5a.14.15.00.00.cd.bf
1306256505.102063 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.01.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.b9.82
1306256505.137817 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256505.277783 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256505.318385 : /dev/ttyUSB2 : 07.03.14.10.10.0e.10.15.68.00.01.00.00.00.00.00.00.42.5a.4e.4c.00.00.44.73
1306256505.541162 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.01.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.b9.82
1306256505.561830 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256505.717772 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256505.755762 : /dev/ttyUSB2 : 07.03.14.10.10.0e.10.15.d7.00.01.00.00.00.00.00.00.42.66.78.cb.00.00.54.a7
1306256506.065813 : /dev/ttyUSB0 : 07.10.0b.e9.00.0a.14.00.01.00.01.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.b9.82
1306256506.109768 : /dev/ttyUSB2 : 07.10.0b.e9.00.0a.93.b8
1306256506.293122 : /dev/ttyUSB0 : 07.03.0b.b7.00.0a.77.a9
1306256506.349783 : /dev/ttyUSB2 : 07.03.14.10.10.0e.10.15.b8.00.01.00.00.00.00.00.00.42.62.43.d2.00.00.56.a8
