Port Logger Log: Unix time: 1308181458.57
Ports in use: /dev/pts/6 /dev/pts/7
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1308181460.854949 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181460.899309 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.ae.00.00.00.00.00.00.00.00.bf.db.4f.76.00.02.ea.17
1308181461.083310 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181461.123307 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181461.287041 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181461.331323 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.a8.00.00.00.00.00.00.00.00.bf.f0.21.fb.00.02.c4.d0
1308181461.515046 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181461.555029 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181461.719329 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181461.778740 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.a2.00.00.00.00.00.00.00.00.c0.02.7e.ab.00.02.6e.c8
1308181461.959311 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181461.994914 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181462.158879 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181462.207745 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.9d.00.00.00.00.00.00.00.00.c0.0b.c6.04.00.02.d9.58
1308181462.387410 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181462.427125 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181462.590857 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181462.626854 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.97.00.00.00.00.00.00.00.00.c0.16.2d.cd.00.02.5a.87
1308181462.810940 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181462.847322 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181463.011092 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181463.063325 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.92.00.00.00.00.00.00.00.00.c0.1f.69.e6.00.02.27.7d
1308181463.243346 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181463.283222 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181463.446808 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181463.503298 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.8d.00.00.00.00.00.00.00.00.c0.29.cb.f9.00.02.a2.0f
1308181463.686994 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181463.722945 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181463.887323 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181463.930822 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.87.00.00.00.00.00.00.00.00.c0.34.2c.8e.00.02.42.a4
1308181464.114392 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181464.154835 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181464.319329 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181464.368832 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.82.00.00.00.00.00.00.00.00.c0.3d.65.e9.00.02.fc.25
1308181464.547055 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181464.587329 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181464.751472 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181464.806842 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.7c.00.00.00.00.00.00.00.00.c0.47.d1.85.00.02.bc.42
1308181464.991306 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181465.027325 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181465.192337 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181465.241377 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.76.00.00.00.00.00.00.00.00.c0.52.2e.31.00.02.4b.b4
1308181465.427757 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181465.466880 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181465.631185 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181465.670093 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.71.00.00.00.00.00.00.00.00.c0.5b.65.67.00.02.27.43
1308181465.855137 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181465.895379 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181466.058817 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181466.115441 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.6c.00.00.00.00.00.00.00.00.c0.65.c1.59.00.02.91.73
1308181466.298819 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181466.334810 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181466.499809 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181466.559006 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.67.00.00.00.00.00.00.00.00.c0.6e.f6.c0.00.02.a1.ee
1308181466.742841 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181466.778861 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181466.944259 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181467.001977 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.61.00.00.00.00.00.00.00.00.c0.79.4f.69.00.02.a6.93
1308181467.185026 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181467.223708 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181467.387318 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181467.423370 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.5b.00.00.00.00.00.00.00.00.c0.81.d3.71.00.02.13.03
1308181467.606972 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181467.643348 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181467.807353 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181467.856399 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.56.00.00.00.00.00.00.00.00.c0.86.6d.c6.00.02.ff.c8
1308181468.035117 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181468.075334 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181468.244599 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181468.293692 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.50.00.00.00.00.00.00.00.00.c0.8b.97.e8.00.02.04.da
1308181468.478912 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181468.518872 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181468.687376 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181468.743429 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.4b.00.00.00.00.00.00.00.00.c0.90.c7.4d.00.02.3a.f0
1308181468.930863 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181468.970896 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181469.139407 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181469.196109 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.45.00.00.00.00.00.00.00.00.c0.95.fb.01.00.02.b5.73
1308181469.379386 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181469.420162 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181469.586967 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181469.636521 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.40.00.00.00.00.00.00.00.00.c0.9a.a0.9d.00.02.f7.7b
1308181469.818889 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181469.858900 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181470.026906 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181470.075361 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.3a.00.00.00.00.00.00.00.00.c0.9f.d3.98.00.02.cb.dd
1308181470.259463 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181470.299402 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181470.466873 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181470.506373 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.34.00.00.00.00.00.00.00.00.c0.a5.06.64.00.02.65.e0
1308181470.690892 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181470.730901 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1308181470.899408 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1308181470.938560 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.2f.00.00.00.00.00.00.00.00.c0.a9.a2.f6.00.02.ac.37
1308181471.122963 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308181471.163379 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
