Port Logger Log: Unix time: 1308166688.26
Ports in use: /dev/pts/5 /dev/pts/6
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1308166690.318223 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166690.326711 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.ac.00.00.00.00.00.00.00.00.bf.e0.32.05.00.02.64.64
1308166690.486840 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166690.497302 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166690.654236 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166690.662223 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.a8.00.00.00.00.00.00.00.00.bf.f0.8a.d6.00.02.74.fd
1308166690.822303 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166690.830326 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166690.990310 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166691.000169 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.a3.00.00.00.00.00.00.00.00.c0.00.70.cd.00.02.34.ff
1308166691.158798 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166691.166828 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166691.326356 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166691.334329 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.9f.00.00.00.00.00.00.00.00.c0.07.6f.df.00.02.1a.ff
1308166691.494809 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166691.502203 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166691.662231 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166691.670787 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.9b.00.00.00.00.00.00.00.00.c0.0f.96.62.00.02.5f.85
1308166691.830724 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166691.838215 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166691.998228 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166692.006331 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.96.00.00.00.00.00.00.00.00.c0.17.bb.c7.00.02.ab.cd
1308166692.166311 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166692.174212 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166692.334804 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166692.342473 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.93.00.00.00.00.00.00.00.00.c0.1e.b5.e4.00.02.41.ed
1308166692.502721 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166692.513173 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166692.671304 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166692.681785 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.8e.00.00.00.00.00.00.00.00.c0.26.db.53.00.02.91.ef
1308166692.838311 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166692.846313 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166693.007362 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166693.014722 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.8a.00.00.00.00.00.00.00.00.c0.2d.d5.a4.00.02.83.37
1308166693.176102 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166693.186295 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166693.346323 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166693.354724 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.86.00.00.00.00.00.00.00.00.c0.35.f9.16.00.02.07.87
1308166693.514730 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166693.525104 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166693.682219 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166693.690781 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.81.00.00.00.00.00.00.00.00.c0.3e.14.2a.00.02.10.24
1308166693.850709 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166693.858683 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166694.014674 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166694.022685 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.7e.00.00.00.00.00.00.00.00.c0.45.06.c3.00.02.9f.e2
1308166694.178163 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166694.186204 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166694.342676 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166694.350678 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.79.00.00.00.00.00.00.00.00.c0.4d.18.65.00.02.df.2a
1308166694.506665 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166694.514183 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166694.670164 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166694.678683 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.75.00.00.00.00.00.00.00.00.c0.54.01.84.00.02.99.87
1308166694.838655 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166694.846543 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166695.002625 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166695.010704 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.71.00.00.00.00.00.00.00.00.c0.5c.10.f3.00.02.c9.63
1308166695.170193 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166695.178177 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166695.334708 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166695.342655 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.6d.00.00.00.00.00.00.00.00.c0.62.f8.97.00.02.88.d0
1308166695.502451 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166695.510710 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166695.666919 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166695.675685 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.69.00.00.00.00.00.00.00.00.c0.6b.06.44.00.02.90.c3
1308166695.830374 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166695.840858 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166695.998725 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166696.006203 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.64.00.00.00.00.00.00.00.00.c0.73.1b.da.00.02.1a.46
1308166696.166689 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166696.174685 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166696.330586 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166696.338346 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.60.00.00.00.00.00.00.00.00.c0.7a.06.8d.00.02.75.f8
1308166696.494360 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166696.502402 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166696.662184 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166696.670196 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.5c.00.00.00.00.00.00.00.00.c0.81.0b.1d.00.02.ae.bc
1308166696.826655 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166696.836555 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166696.990344 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166696.998218 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.58.00.00.00.00.00.00.00.00.c0.84.7d.01.00.02.bd.31
1308166697.154499 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166697.164785 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166697.318180 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166697.326229 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.54.00.00.00.00.00.00.00.00.c0.88.82.14.00.02.80.e5
1308166697.482626 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166697.490269 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166697.646517 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166697.654218 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.50.00.00.00.00.00.00.00.00.c0.8b.f3.6b.00.02.ea.02
1308166697.810468 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166697.820720 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
1308166697.978706 : /dev/pts/5 : 07.03.0b.b7.00.0a.77.a9
1308166697.986696 : /dev/pts/6 : 07.03.14.00.00.00.00.0d.4c.00.00.00.00.00.00.00.00.c0.8f.f7.fc.00.02.b7.17
1308166698.146732 : /dev/pts/5 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166698.154489 : /dev/pts/6 : 07.10.0b.e9.00.0a.93.b8
