Port Logger Log: Unix time: 1308166111.31
Ports in use: /dev/pts/3 /dev/pts/4
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1308166113.602171 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166113.612863 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.ab.00.00.00.00.00.00.00.00.bf.e2.fc.8b.00.02.04.65
1308166113.770176 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166113.778738 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166113.938720 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166113.946784 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.a8.00.00.00.00.00.00.00.00.bf.f0.e8.c2.00.02.2b.41
1308166114.106193 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166114.115236 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166114.270672 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166114.278664 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.a3.00.00.00.00.00.00.00.00.c0.00.96.d8.00.02.12.73
1308166114.438180 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166114.448436 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166114.606636 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166114.614971 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.9f.00.00.00.00.00.00.00.00.c0.07.88.4e.00.02.7d.a6
1308166114.774178 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166114.782179 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166114.938668 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166114.946672 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.9b.00.00.00.00.00.00.00.00.c0.0f.a2.47.00.02.40.7e
1308166115.106646 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166115.114847 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166115.270175 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166115.278204 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.96.00.00.00.00.00.00.00.00.c0.17.b9.b3.00.02.ea.6f
1308166115.434167 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166115.442185 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166115.598252 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166115.606725 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.93.00.00.00.00.00.00.00.00.c0.1e.a8.6c.00.02.c7.ab
1308166115.766745 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166115.775269 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166115.934189 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166115.942179 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.8e.00.00.00.00.00.00.00.00.c0.26.cb.57.00.02.d4.ee
1308166116.098159 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166116.106454 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166116.262615 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166116.270420 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.8a.00.00.00.00.00.00.00.00.c0.2d.b9.cd.00.02.4e.7b
1308166116.430686 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166116.438180 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166116.594454 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166116.604699 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.86.00.00.00.00.00.00.00.00.c0.35.ce.57.00.02.59.e7
1308166116.762184 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166116.770683 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166116.926426 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166116.936128 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.82.00.00.00.00.00.00.00.00.c0.3c.ba.7f.00.02.1a.1d
1308166117.094165 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166117.102202 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166117.258242 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166117.266172 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.7e.00.00.00.00.00.00.00.00.c0.44.da.df.00.02.58.74
1308166117.422665 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1308166117.430192 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166117.590795 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166117.598202 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.7a.00.00.00.00.00.00.00.00.c0.4b.c4.ee.00.02.5f.91
1308166117.758729 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166117.769251 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166117.926694 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166117.934695 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.79.00.00.00.00.00.00.00.00.c0.50.43.15.00.02.21.d7
1308166118.094181 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166118.102720 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166118.262194 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166118.272431 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.83.00.00.00.00.00.00.00.00.c0.3e.57.f9.00.02.76.58
1308166118.426167 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166118.434685 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166118.590666 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166118.598196 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.8c.00.00.00.00.00.00.00.00.c0.2e.f9.39.00.02.d8.4b
1308166118.754681 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166118.762190 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166118.918171 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166118.926195 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.96.00.00.00.00.00.00.00.00.c0.1d.1b.87.00.02.10.18
1308166119.082355 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166119.090490 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166119.246354 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166119.254687 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.9e.00.00.00.00.00.00.00.00.c0.0d.d5.77.00.02.e7.06
1308166119.410651 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166119.418683 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166119.574792 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166119.582207 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.a8.00.00.00.00.00.00.00.00.bf.f8.11.ec.00.02.9a.15
1308166119.742293 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166119.750212 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166119.910210 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166119.918173 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.b0.00.00.00.00.00.00.00.00.bf.d9.6a.94.00.02.a6.e5
1308166120.074537 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166120.082195 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166120.238186 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166120.246278 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.ba.00.00.00.00.00.00.00.00.bf.b6.00.b8.00.02.24.fa
1308166120.402173 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166120.410685 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166120.566689 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166120.574308 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.c2.00.00.00.00.00.00.00.00.bf.97.b0.19.00.02.97.fd
1308166120.734388 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166120.742191 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166120.898768 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166120.906382 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.cc.00.00.00.00.00.00.00.00.bf.68.c2.17.00.02.77.56
1308166121.062442 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166121.070176 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
1308166121.226175 : /dev/pts/3 : 07.03.0b.b7.00.0a.77.a9
1308166121.234601 : /dev/pts/4 : 07.03.14.00.00.00.00.0d.d4.00.00.00.00.00.00.00.00.bf.2c.58.78.00.02.81.96
1308166121.394152 : /dev/pts/3 : 07.10.0b.e9.00.0a.14.00.02.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.ac.56
1308166121.402640 : /dev/pts/4 : 07.10.0b.e9.00.0a.93.b8
