Port Logger Log: Unix time: 1306360893.11
Ports in use: /dev/pts/6 /dev/pts/7
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306360894.279602 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360894.295740 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360894.479094 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360894.516345 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360894.683694 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360894.699542 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360894.879526 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360894.915576 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360895.079711 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360895.097762 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360895.279628 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360895.316001 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360895.483625 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360895.499582 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360895.679636 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360895.715633 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360895.875566 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360895.887531 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360896.063595 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360896.101343 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360896.263582 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360896.281582 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360896.467174 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360896.503586 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360896.667563 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360896.683620 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360896.859157 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360896.896985 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360897.066423 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360897.083591 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360897.267172 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360897.303587 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360897.471053 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360897.488921 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360897.671635 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360897.707583 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360897.871536 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360897.889540 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360898.071678 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360898.107585 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360898.271578 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360898.287566 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360898.468450 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360898.503587 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360898.667808 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360898.684166 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360898.867742 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360898.903546 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360899.063010 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360899.080831 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360899.263039 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360899.300530 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360899.468258 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360899.483610 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360899.659556 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360899.695863 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360899.865475 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360899.883378 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360900.063615 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360900.101440 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360900.267632 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360900.283554 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360900.463641 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360900.499773 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360900.663573 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360900.679720 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360900.859544 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360900.895605 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360901.063047 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360901.079547 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360901.259663 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360901.295583 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360901.459577 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360901.475586 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360901.661009 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360901.696216 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360901.863640 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360901.880004 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360902.065684 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360902.099588 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360902.259527 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360902.275561 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360902.455638 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360902.491596 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360902.655581 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360902.673551 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360902.855601 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360902.891707 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360903.059175 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360903.075748 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360903.251552 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360903.287581 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360903.451030 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306360903.467585 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306360903.643239 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306360903.679550 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306360903.839228 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
