Port Logger Log: Unix time: 1306376936.45
Ports in use: /dev/pts/6 /dev/pts/7
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306376937.643657 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376937.703208 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376937.887502 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376937.927028 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376938.095603 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376938.111055 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376938.295085 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376938.331517 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376938.495500 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376938.511526 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376938.695560 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376938.735566 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376938.903558 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376938.919521 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376939.103012 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376939.145247 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376939.311163 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376939.327525 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376939.511077 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376939.551069 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376939.719528 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376939.735602 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376939.919032 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376939.959559 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376940.123421 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376940.139521 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376940.323573 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376940.363572 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376940.531369 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376940.547524 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376940.731546 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376940.771560 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376940.939509 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376940.955037 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376941.139211 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376941.179084 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376941.347034 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376941.363003 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376941.547050 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376941.587583 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376941.755502 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376941.771520 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376941.955094 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376941.995073 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376942.163596 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376942.179055 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376942.363497 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376942.403512 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376942.567074 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376942.585692 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376942.771073 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376942.811079 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376942.979014 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376942.995032 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376943.179024 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376943.219539 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376943.387085 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376943.403564 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376943.587024 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376943.627586 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376943.795293 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376943.811527 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376943.995086 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376944.035073 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376944.199007 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376944.215529 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376944.399118 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376944.439109 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376944.607501 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376944.623127 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376944.807583 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376944.847546 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376945.015504 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376945.031552 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376945.215575 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376945.255060 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376945.423544 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376945.439516 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376945.623577 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376945.663063 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376945.831540 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376945.847532 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376946.031484 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376946.071067 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376946.239502 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376946.255525 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376946.443182 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376946.483083 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376946.651507 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376946.667522 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376946.847005 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376946.883498 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376947.047020 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306376947.063028 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306376947.247022 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306376947.287086 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306376947.455013 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
