Port Logger Log: Unix time: 1306277440.76
Ports in use: /dev/pts/9 /dev/pts/10
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306277444.757814 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277444.900184 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277445.119656 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277445.187909 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277445.407669 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277445.466273 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277445.655701 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277445.723744 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277445.932180 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277445.984296 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277446.300601 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277446.367777 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277446.560666 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277446.604204 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277446.895663 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277446.951644 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277447.171616 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277447.231663 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277447.548111 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277447.606135 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277447.827025 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277447.875420 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277448.199592 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277448.267798 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277448.487694 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277448.536169 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277448.780249 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277448.839907 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277449.032112 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277449.070163 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277449.291833 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277449.360532 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277449.571791 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277449.619616 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277449.843588 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277449.916191 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277450.187918 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277450.232163 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277450.476177 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277450.543862 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277450.711671 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277450.780150 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277451.066870 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277451.124959 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277451.451943 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277451.515663 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277451.760180 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277451.827774 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277452.036159 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277452.079677 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277452.326534 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277452.404554 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277452.575889 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277452.614118 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277452.892753 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277452.959648 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277453.284198 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277453.331859 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277453.558877 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277453.616653 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277453.795651 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277453.847809 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277454.043603 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277454.119733 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277454.347674 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277454.408123 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277454.623635 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277454.700196 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277454.911595 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277454.970517 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277455.159632 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277455.244462 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277455.424392 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277455.483458 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277455.723809 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277455.787904 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277455.964109 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277456.020528 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277456.343720 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277456.411663 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277456.635762 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277456.676188 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277456.899646 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277456.985568 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277457.277737 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277457.335990 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277457.659979 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277457.728344 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277457.935641 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277457.976553 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277458.183707 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277458.240111 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277458.560172 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
1306277458.599824 : /dev/pts/10 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306277458.804110 : /dev/pts/9 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306277458.888275 : /dev/pts/10 : 07.10.0b.e9.00.0a.93.b8
1306277459.196163 : /dev/pts/9 : 07.03.0b.b7.00.0a.77.a9
