Port Logger Log: Unix time: 1306381103.27
Ports in use: /dev/pts/6 /dev/pts/7
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306381104.931607 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381104.995016 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381105.179500 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381105.247493 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381105.411022 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381105.459004 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381105.638988 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381105.699005 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381105.863002 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381105.911500 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381106.093805 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381106.183029 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381106.347546 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381106.395559 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381106.579071 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381106.667510 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381106.835578 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381106.891023 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381107.075591 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381107.139592 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381107.303518 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381107.362617 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381107.547336 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381107.618881 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381107.783091 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381107.819604 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381108.003011 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381108.083682 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381108.251025 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381108.290993 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381108.471011 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381108.542069 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381108.703002 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381108.767014 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381108.947004 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381109.031499 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381109.195064 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381109.243547 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381109.431497 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381109.499032 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381109.663517 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381109.711011 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381109.894998 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381109.971003 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381110.134996 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381110.171084 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381110.355082 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381110.436400 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381110.603561 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381110.642719 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381110.827591 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381110.907025 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381111.075086 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381111.134359 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381111.319071 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381111.391084 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381111.555528 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381111.594673 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381111.779174 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381111.855141 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381112.023522 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381112.062868 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381112.247663 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381112.331012 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381112.499570 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381112.563029 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381112.747072 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381112.811520 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381112.975540 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381113.027013 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381113.211060 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381113.287231 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381113.451507 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381113.503517 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381113.687140 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381113.775014 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381113.939059 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381113.998305 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381114.183597 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381114.267001 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381114.435441 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381114.483031 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381114.667593 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381114.727525 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381114.891652 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381114.927175 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381115.111052 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381115.171012 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381115.339060 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381115.387017 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381115.571603 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381115.639015 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381115.803066 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306381115.867028 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306381116.051569 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306381116.142974 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306381116.311345 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
