Port Logger Log: Unix time: 1306382093.61
Ports in use: /dev/pts/7 /dev/pts/8
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306382095.407609 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382095.451010 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382095.631003 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382095.671022 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382095.835500 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382095.894651 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382096.079091 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382096.119069 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382096.287598 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382096.331014 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382096.515586 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382096.555558 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382096.723492 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382096.782689 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382096.962997 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382096.999007 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382097.163512 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382097.211503 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382097.395151 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382097.431017 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382097.599013 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382097.643003 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382097.827494 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382097.867025 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382098.031491 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382098.080370 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382098.259101 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382098.294996 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382098.463597 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382098.511527 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382098.695014 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382098.735013 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382098.899066 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382098.943638 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382099.124308 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382099.163559 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382099.331044 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382099.387028 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382099.567045 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382099.607603 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382099.775037 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382099.811012 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382099.995592 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382100.035161 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382100.203579 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382100.242724 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382100.423007 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382100.463554 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382100.627018 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382100.665983 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382100.851492 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382100.891050 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382101.059195 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382101.103675 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382101.287006 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382101.323047 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382101.491608 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382101.530704 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382101.715593 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382101.755081 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382101.923015 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382101.979034 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382102.163074 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382102.207548 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382102.371006 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382102.430379 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382102.616277 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382102.655125 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382102.823380 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382102.867252 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382103.051384 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382103.102348 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382103.263118 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382103.322215 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382103.507075 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382103.547089 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382103.715580 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382103.764222 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382103.942799 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382103.983542 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382104.151641 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382104.190677 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382104.375542 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382104.415514 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382104.583073 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382104.631568 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382104.815198 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382104.859582 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382105.027569 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382105.071286 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382105.255068 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382105.295162 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382105.463038 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
1306382105.507537 : /dev/pts/8 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306382105.691580 : /dev/pts/7 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306382105.735048 : /dev/pts/8 : 07.10.0b.e9.00.0a.93.b8
1306382105.903095 : /dev/pts/7 : 07.03.0b.b7.00.0a.77.a9
