Port Logger Log: Unix time: 1306359737.31
Ports in use: /dev/pts/6 /dev/pts/7
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306359738.447622 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359738.455732 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359738.617577 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359738.623609 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359738.783659 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359738.791553 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359738.951539 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359738.961754 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359739.123040 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359739.131548 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359739.292929 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359739.299540 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359739.459561 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359739.467538 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359739.623631 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359739.631782 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359739.791042 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359739.799557 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359739.955551 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359739.965764 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359740.123547 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359740.131534 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359740.288278 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359740.295569 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359740.455625 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359740.463693 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359740.623640 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359740.631591 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359740.791614 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359740.802011 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359740.959604 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359740.967578 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359741.127605 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359741.135686 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359741.295557 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359741.305791 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359741.467196 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359741.477392 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359741.635546 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359741.645771 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359741.803571 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359741.811559 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359741.971032 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359741.979549 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359742.139606 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359742.147589 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359742.309376 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359742.319712 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359742.480215 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359742.490813 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359742.643157 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359742.652267 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359742.808114 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359742.815704 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359742.975615 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359742.983938 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359743.143579 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359743.151707 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359743.311633 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359743.319578 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359743.479556 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359743.487556 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359743.647560 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359743.655564 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359743.815094 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359743.825541 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359743.987597 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359743.996704 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359744.155630 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359744.166015 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359744.323603 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359744.331544 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359744.491582 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359744.501974 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359744.663131 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359744.671554 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359744.831834 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359744.839593 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359744.999585 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359745.007577 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359745.167590 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359745.176632 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359745.336231 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359745.346698 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359745.499544 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359745.507596 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359745.667582 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359745.677859 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359745.835580 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359745.843588 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359746.003594 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359746.012881 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359746.171547 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306359746.179579 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306359746.341635 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306359746.352141 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306359746.507588 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
