Register,Value,Format,Forced,Available,Groups
00013,1,BO,No,Online,gas
44002,+0.00,F,No,Always,*Element;gas
44004,+0.00,F,No,Always,*Element;gas
44006,+0.00,F,No,Always,*Element;gas
44008,+0.00,F,No,Always,*Element;gas
44010,+0.00,F,No,Always,*Element;gas
44012,+100.00,F,No,Always,*Element
44014,+0.00,F,No,Always,*Element
44016,+0.00,F,No,Always,*Element;gas
44018,+0.00,F,No,Always,*Element
44020,0,U,No,Always,*Element
00102,0,BO,No,Online,gas
00101,0,BO,No,Online,gas
00103,0,BO,No,Online,gas
00104,0,BO,No,Online,gas
00100,0,BO,No,Online,gas
00006,0,BO,No,Online,gas
30001,5310,U,No,Online,gas
41006,+25.05,F,No,Online,gas
44000,+25.05,F,No,Online,gas
44021,+0.00,F,No,Online,gas
