Register,Value,Format,Forced,Available,Groups
00013,1,BO,No,Online,water2
00102,0,BO,No,Online,water2
00103,1,BO,No,Online,water2
00104,0,BO,No,Online,water2
00105,1,BO,No,Online,water2
00106,0,BO,No,Online,water2
43050,2,U,No,Online,water2
43051,0,U,No,Online,water2
43052,0,U,No,Online,water2
43053,0,U,No,Online,water2
43054,0,U,No,Online,water2
43055,0,U,No,Online,water2
43056,0,U,No,Online,water2
43057,0,U,No,Online,water2
43058,0,U,No,Online,water2
43059,0,U,No,Online,water2
30001,2,U,No,Online,water2
41008,40,U,No,Online,water2
00001,0,BO,No,Online,water2
00002,0,BO,No,Online,water2
00003,0,BO,No,Online,water2
00004,0,BO,No,Online,water2
00005,0,BO,No,Online,water2
00006,0,BO,No,Online,water2
00007,1,BO,No,Online,water2
00008,0,BO,No,Online,water2
10001,1,BO,No,Online,water2
10002,1,BO,No,Online,water2
10003,0,BO,No,Online,water2
10004,0,BO,No,Online,water2
10005,0,BO,No,Online,water2
10006,0,BO,No,Online,water2
10007,1,BO,No,Online,water2
10008,0,BO,No,Online,water2
42003,5,U,No,Online,water2
00101,1,BO,No,Online,water2
42005,0,U,No,Online,water2
42004,10,U,No,Online,water2
42006,33,U,No,Online,water2
42007,33,U,No,Online,water2
40010,0,U,No,Online,water2
41009,50944,U,No,Online,water2
41011,+0.00,F,No,Online,water2
41006,+39.00,F,No,Online,water2
42010,16316,U,No,Online,water2
42011,15420,U,No,Online,water2
42012,1,U,No,Online,water2
42013,0,U,No,Online,water2
42008,+34.00,F,No,Online,water2
42014,30,U,No,Online,water2
